DMTDB000001,biphenyl
DMTDB000002,nicotinamide
DMTDB000003,Tranexamic Acid
DMTDB000004,Quinic acid
DMTDB000005,"trans-trans-Muconic acid
(2,4-hexadienedioic acid)"
DMTDB000006,"1,4-Dithiothreitol
(dithiothreitol)"
DMTDB000007,Parabanic Acid
DMTDB000008,Nonadecanoic acid
DMTDB000009,"Octacosanoic acid
(montanic acid)"
DMTDB000010,Serotonin
DMTDB000011,Palmitoleic acid
DMTDB000012,Histidine
DMTDB000013,"4-Hydroxyproline
(trans-4-hydroxyproline)"
DMTDB000014,"N2-Acetylornithine
(N-acetylornithine TMS2b)"
DMTDB000015,Glycylproline
DMTDB000016,Pipecolic acid
DMTDB000017,Hydroquinone
DMTDB000018,beta-Alanine
DMTDB000019,"Sumiki's acid
(5-hydroxymethyl-2-furoic acid)"
DMTDB000020,Raffinose
DMTDB000021,"DL-Homocystine
(homocystine)"
DMTDB000022,"Sphingosine
(D-erythro-sphingosine)"
DMTDB000023,Itaconic acid
DMTDB000024,Spermidine
DMTDB000025,Orotic acid
DMTDB000026,Glucose 1-phosphate
DMTDB000027,"Dihydrouracil
(5,6-dihydrouracil)"
DMTDB000028,"gamma-Aminobutyric acid
(GABA)"
DMTDB000029,"Pelargonic acid
(nonanoic acid)"
DMTDB000030,Glycyltyrosine
DMTDB000031,Nornicotine
DMTDB000032,"Lignocerane
(tetracosane)"
DMTDB000033,"Epinephrine
(adrenaline)"
DMTDB000034,Arachidic acid
DMTDB000035,Picolinic acid
DMTDB000036,Phytol
DMTDB000037,"N-methyl-L-glutamic Acid
(N-methylglutamic acid)"
DMTDB000038,3-(3-Hydroxyphenyl)propanoic acid
DMTDB000039,L-Cysteine
DMTDB000040,"D-Quinovose
(isorhamnose)"
DMTDB000041,Methionine sulfoxide
DMTDB000042,L-Cystine
DMTDB000043,D-Threitol
DMTDB000044,"Fructose 1,6-bisphosphate"
DMTDB000045,Phenyllactic acid
DMTDB000046,"P-Toluenesulfonamide
(4-methylbenzenesulfonamide)"
DMTDB000047,L-Tryptophan
DMTDB000048,Allantoic acid
DMTDB000049,"L-Aspartic acid
(aspartate)"
DMTDB000050,"Alpha-Ketoglutarate
(2-oxoglutarate)"
DMTDB000051,Phenylethylamine
DMTDB000052,Adenosine
DMTDB000053,Hippuric acid
DMTDB000054,Tryptophol
DMTDB000055,"Biochanin A
(5,7-dihydroxy-4'-methoxyisoflavone)"
DMTDB000056,1-Triacontanol
DMTDB000057,N-Acetyl-D-tryptophan
DMTDB000058,Ornithine
DMTDB000059,"Ureidosuccinic acid
(N-carbamoylaspartate)"
DMTDB000060,"(9E,11E)-Octadecadienoic acid
(Isolinoleic acid)"
DMTDB000061,Serine
DMTDB000062,Zymosterol intermediate 2
DMTDB000063,"3-Hydroxyhexadecanoic acid
(3-hydroxypalmitic acid)"
DMTDB000064,Phthalic acid
DMTDB000065,"1,2-Cyclohexanedione"
DMTDB000066,"15-Methylpalmitate
(isoheptadecanoic acid)"
DMTDB000067,5-Methoxytryptamine
DMTDB000068,Putrescine
DMTDB000069,"Tetracosanoic acid
(lignoceric acid)"
DMTDB000070,Phosphoserine
DMTDB000071,"Dodecanoic acid
(lauric acid)"
DMTDB000072,"3-Cyanoalanine
(cyano-L-alanine)"
DMTDB000073,O-Succinyl-L-homoserine
DMTDB000074,Oleamide
DMTDB000075,"Caffeic acid
(3,4-dihydroxycinnamic acid)"
